"Cs2","cutoff.step","Power.min","SR.min","Method","Sample.Size","Power","GP","SR","GSR","CSP","NA","Sample.Size","Power","GP","SR","GSR","CSP","NA","Sample.Size","Power","GP","SR","GSR","CSP","NA","Sample.Size","Power","GP","SR","GSR","CSP"
0.95,1,0.8,0.65,"BOP2-OC",133.76,10.04,10.04,5.08,5.08,86.82, ,95.24,9.64,9.64,5.27,5.28,80.04, ,125.35,9.99,10,4.81,4.81,94.06, ,91.08,9.38,9.38,5.06,5.06,86.3
0.95,1,0.8,0.65,"Dunnett",148,10.1,10.1,5.07,5.07,100, ,112,10.04,10.04,5.05,5.05,100, ,132,10.01,10.01,5.03,5.03,100, ,103,10.09,10.09,5.04,5.04,100
0.95,1,0.8,0.65,"BOP2-OC",133.03,9.4,9.4,4.54,4.54,86.13, ,93.48,8.28,8.28,4.3,4.3,77.96, ,125.1,9.1,9.1,4.19,4.19,93.84, ,90.52,8.63,8.64,4.41,4.41,85.66
0.95,1,0.8,0.65,"Dunnett",148,10.1,10.1,5.07,5.07,100, ,112,10.04,10.04,5.05,5.05,100, ,132,10.01,10.01,5.03,5.03,100, ,103,10.09,10.09,5.04,5.04,100
0.95,1,0.8,0.65,"BOP2-OC",132.56,9.11,5.92,4.52,2.96,55.73, ,93.32,8.2,5.18,4.35,2.8,48.63, ,124.94,8.67,5.85,4.03,2.68,65.58, ,90.42,9.24,6.04,4.76,3.12,55.63
0.95,1,0.8,0.65,"Dunnett",148,10.1,5.24,5.07,2.67,56.36, ,112,10.04,5.12,5.05,2.58,55.57, ,132,10.01,5.28,5.03,2.62,56.26, ,103,10.09,4.74,5.04,2.4,46.63
0.95,1,0.8,0.65,"BOP2-OC",96.2,2.35, ,2.31, ,0, ,58.26,1.65, ,1.59, ,0, ,91.42,3.42, ,3.24, ,0, ,61.27,2.69, ,2.59, ,0
0.95,1,0.8,0.65,"Dunnett",148,7.45,0,7.28,0,0, ,112,7.89,0,7.56,0,0, ,132,7,0,6.8,0,0, ,103,7.54,0,7.21,0,0
0.95,1,0.8,0.65,"BOP2-OC",147.97,93.12,93.12,80.94,80.94,99.97, ,111.88,92.94,92.94,81.76,81.76,99.86, ,131.99,90.31,90.31,79.26,79.27,100, ,102.98,90.53,90.53,79.36,79.36,99.98
0.95,1,0.8,0.65,"Dunnett",148,91.33,91.33,78.81,78.81,100, ,112,91.51,91.51,73.65,73.65,100, ,132,86.94,86.94,75.96,75.96,100, ,103,87.11,87.11,73.72,73.72,100
0.95,1,0.8,0.65,"BOP2-OC",147.89,91.64,91.64,77.84,77.84,99.9, ,111.64,91.35,91.35,78.62,78.63,99.57, ,131.99,89.02,89.02,76.52,76.52,100, ,102.91,88.82,88.82,76.16,76.16,99.9
0.95,1,0.8,0.65,"Dunnett",148,91.33,91.33,78.81,78.81,100, ,112,91.51,91.51,73.65,73.65,100, ,132,86.94,86.94,75.96,75.96,100, ,103,87.11,87.11,73.72,73.72,100
0.95,1,0.8,0.65,"BOP2-OC",146.05,77.66,77.38,60.15,60.15,85.54, ,107.71,75.84,75.61,54.48,54.48,83.61, ,131.32,75.61,75.46,60.3,60.3,86.22, ,101.27,74.51,74.26,53.63,53.63,85.46
