"Cs2","cutoff.step","Power.min","SR.min","Case","n.stage1","n.stage2","n.total.trial","Ce1","Ce2","Power.min","SR.min"
0.95,1,0.8,0.6,1,9,23,137,0.9352629114876381,0.7032253514801667,0.8069,0.607
0.95,1,0.8,0.6,2,9,23,105,0.9352629114876381,0.8065492515531733,0.8069,0.6277
0.95,1,0.8,0.6,3,9,28,130,0.9316796153013976,0.6694224825821379,0.8005,0.6495
0.95,1,0.8,0.6,4,9,28,102,0.9316796153013976,0.788675002690148,0.8005,0.6427
0.9,2,0.8,0.6,1,13,20,145,0.9250767485404148,0.706704315163886,0.8037,0.6051
0.9,2,0.8,0.6,2,9,27,117,0.9136828091651192,0.8399491307933175,0.8051,0.6014
0.9,2,0.8,0.6,3,14,25,128,0.9218965270200926,0.6606060571361463,0.8024,0.6305
0.9,2,0.8,0.6,4,14,25,103,0.9218965270200926,0.7966064991930333,0.8024,0.6125
0.8,1,0.8,0.6,1,11,22,143,0.9250767485404148,0.7129583357644529,0.813,0.615
0.8,1,0.8,0.6,2,12,20,108,0.9352629114876381,0.8172066656663682,0.8019,0.6167
0.8,1,0.8,0.6,3,14,25,128,0.9218965270200926,0.6606060571361463,0.8024,0.6305
0.8,1,0.8,0.6,4,14,25,103,0.9218965270200926,0.7966064991930333,0.8024,0.6125
0.8,2,0.8,0.6,1,12,22,148,0.9159573848612562,0.7055108873795579,0.8005,0.6163
0.8,2,0.8,0.6,2,12,24,120,0.9136828091651192,0.8447258700843123,0.8239,0.6048
0.8,2,0.8,0.6,3,18,24,132,0.9074483147764227,0.643976865744177,0.8093,0.6469
0.8,2,0.8,0.6,4,12,27,105,0.910577782852371,0.8112014437501676,0.8015,0.6098
0.85,2,0.8,0.6,1,13,20,145,0.9250767485404148,0.706704315163886,0.8037,0.6051
0.85,2,0.8,0.6,2,12,24,120,0.9136828091651192,0.8447258700843123,0.8239,0.6048
0.85,2,0.8,0.6,3,14,26,132,0.8917983240390667,0.6749897122445778,0.8083,0.6309
0.85,2,0.8,0.6,4,12,27,105,0.910577782852371,0.8112014437501676,0.8015,0.6098
0.8,1,0.8,0.65,1,11,24,151,0.923079852781989,0.7109317831346704,0.8411,0.6509
0.8,1,0.8,0.65,2,10,29,127,0.9197550896513655,0.8401274034869768,0.8476,0.651
0.8,1,0.8,0.65,3,11,27,130,0.9266598556040608,0.6566633923768322,0.8038,0.6521
0.8,1,0.8,0.65,4,10,30,110,0.92246626453947,0.7867476710815308,0.8061,0.6565
0.95,2,0.8,0.6,1,11,22,143,0.9250767485404148,0.7129583357644529,0.813,0.615
0.95,2,0.8,0.6,2,10,25,115,0.9230795832688634,0.8455449556094903,0.8254,0.6009
0.95,2,0.8,0.6,3,14,25,128,0.9218965270200926,0.6606060571361463,0.8024,0.6305
0.95,2,0.8,0.6,4,14,25,103,0.9218965270200926,0.7966064991930333,0.8024,0.6125
0.9,1,0.8,0.6,1,9,23,137,0.9352629114876381,0.7032253514801667,0.8069,0.607
0.9,1,0.8,0.6,2,9,23,105,0.9352629114876381,0.8065492515531733,0.8069,0.6277
0.9,1,0.8,0.6,3,11,27,130,0.9266598556040608,0.6566633923768322,0.8038,0.6521
0.9,1,0.8,0.6,4,9,28,102,0.9316796153013976,0.788675002690148,0.8005,0.6427
0.85,1,0.8,0.6,1,11,22,143,0.9250767485404148,0.7129583357644529,0.813,0.615
0.85,1,0.8,0.6,2,12,20,108,0.9352629114876381,0.8172066656663682,0.8019,0.6167
0.85,1,0.8,0.6,3,14,25,128,0.9218965270200926,0.6606060571361463,0.8024,0.6305
0.85,1,0.8,0.6,4,14,25,103,0.9218965270200926,0.7966064991930333,0.8024,0.6125
0.95,1,0.85,0.65,1,8,28,152,0.9221723445662006,0.7033785150137467,0.8523,0.6743
0.95,1,0.85,0.65,2,9,30,126,0.93013674262844,0.8401274034869768,0.8539,0.6613
0.95,1,0.85,0.65,3,15,30,150,0.9297878398977649,0.6669202821647748,0.8523,0.6962
0.95,1,0.85,0.65,4,9,33,117,0.9241039604336502,0.8107555709825575,0.8562,0.6878
0.95,2,0.85,0.6,1,13,25,165,0.9205144536913293,0.7631020800386017,0.8564,0.6077
0.95,2,0.85,0.6,2,13,24,124,0.9213188382749493,0.8491914637186325,0.8525,0.6279
0.95,2,0.85,0.6,3,16,30,152,0.9255329104104517,0.6607321486893445,0.8563,0.6998
0.95,2,0.85,0.6,4,14,31,121,0.9258250766890423,0.791066721995169,0.8507,0.6905
0.8,1,0.8,0.7,1,12,28,172,0.9315938686146601,0.6941290169245133,0.8596,0.7059
0.8,1,0.8,0.7,2,12,30,138,0.9295956481195614,0.8304814669793308,0.8806,0.7005
0.8,1,0.8,0.7,3,11,31,146,0.9268321380686226,0.6567720667770026,0.8341,0.7034
0.8,1,0.8,0.7,4,11,34,124,0.9209240456691313,0.810678741697576,0.8666,0.7102
0.8,1,0.85,0.6,1,13,25,165,0.9205144536913293,0.7631020800386017,0.8564,0.6077
0.8,1,0.85,0.6,2,13,24,124,0.9213188382749493,0.8491914637186325,0.8525,0.6279
0.8,1,0.85,0.6,3,16,30,152,0.9255329104104517,0.6607321486893445,0.8563,0.6998
0.8,1,0.85,0.6,4,12,32,120,0.9292994799258422,0.8094449847287403,0.8597,0.6898
0.85,1,0.85,0.6,1,12,27,168,0.93013674262844,0.7613494282570779,0.8511,0.6224
0.85,1,0.85,0.6,2,12,27,129,0.93013674262844,0.84658789314912275,0.8511,0.6524
0.85,1,0.85,0.6,3,13,31,150,0.9266732787770908,0.6833509426359642,0.8604,0.7006
0.85,1,0.85,0.6,4,13,31,119,0.9266732787770908,0.8110456987114875,0.8604,0.682
0.85,1,0.9,0.65,1,13,31,189,0.9277971419299568,0.7452089606367841,0.903,0.702
0.85,1,0.9,0.65,2,13,31,145,0.9277971419299568,0.8341487219722654,0.903,0.7296
0.85,1,0.9,0.65,3,19,35,178,0.9216819242753083,0.6621711642639639,0.9054,0.7705
0.85,1,0.9,0.65,4,12,39,141,0.9214207276581542,0.8140197111635138,0.9052,0.7498
0.8,1,0.9,0.65,1,16,28,192,0.9337368392711695,0.686038144031223,0.9012,0.7552
0.8,1,0.9,0.65,2,12,33,147,0.9269637590928043,0.8269134972842314,0.9063,0.742
0.8,1,0.9,0.65,3,19,35,178,0.9216819242753083,0.6621711642639639,0.9054,0.7705
0.8,1,0.9,0.65,4,12,39,141,0.9214207276581542,0.8140197111635138,0.9052,0.7498
0.9,1,0.8,0.65,1,8,27,148,0.9230795832688634,0.7044054284584744,0.8407,0.6585
0.9,1,0.8,0.65,2,7,28,112,0.9230795832688634,0.8141259822095792,0.8167,0.6654
0.9,1,0.8,0.65,3,11,27,130,0.9266598556040608,0.6566633923768322,0.8038,0.6521
0.9,1,0.8,0.65,4,8,29,103,0.9271445892199472,0.7921424759572534,0.8068,0.655
0.95,1,0.8,0.65,1,8,27,148,0.9230795832688634,0.7044054284584744,0.8407,0.6585
0.95,1,0.8,0.65,2,7,28,112,0.9230795832688634,0.8141259822095792,0.8167,0.6654
0.95,1,0.8,0.65,3,10,28,132,0.9299726087805467,0.6919940812597426,0.8224,0.6504
0.95,1,0.8,0.65,4,8,29,103,0.9271445892199472,0.7921424759572534,0.8068,0.655
0.85,1,0.8,0.65,1,11,24,151,0.923079852781989,0.7109317831346704,0.8411,0.6509
0.85,1,0.8,0.65,2,7,28,112,0.9230795832688634,0.8141259822095792,0.8167,0.6654
0.85,1,0.8,0.65,3,11,27,130,0.9266598556040608,0.6566633923768322,0.8038,0.6521
0.85,1,0.8,0.65,4,10,30,110,0.92246626453947,0.7867476710815308,0.8061,0.6565
0.8,2,0.85,0.65,1,12,27,168,0.9107584594215791,0.7076384713906007,0.8517,0.6906
0.8,2,0.85,0.65,2,12,27,129,0.9107584594215791,0.8401274034869768,0.8517,0.652
0.8,2,0.85,0.65,3,18,27,144,0.8951356930792067,0.6532796128139424,0.854,0.6862
0.8,2,0.85,0.65,4,18,27,117,0.8951356930792067,0.8027522228578355,0.854,0.6648
0.85,2,0.8,0.65,1,13,23,157,0.9221723445662006,0.7100233388822,0.8439,0.6578
0.85,2,0.8,0.65,2,12,27,129,0.9107584594215791,0.8401274034869768,0.8517,0.652
